id,date,bank_category,bank_name,atms_crms_onsite,atms_crms_offsite,pos,micro_atms,bharat_qr,upi_qr,credit_cards,debit_cards,cc_pay_trns_at_pos_vol,cc_pay_trns_at_pos_val,cc_pay_trns_online_vol,cc_pay_trns_online_val,cc_pay_trns_other_vol,cc_pay_trns_other_val,cc_cash_withdraw_atm_val,cc_cash_withdraw_atm_vol,dc_pay_trns_at_pos_vol,dc_pay_trns_at_pos_val,dc_pay_trns_online_vol,dc_pay_trns_online_val,dc_pay_trns_other_vol,dc_pay_trns_other_val,dc_cash_withdraw_atm_val,dc_cash_withdraw_atm_vol,dc_cash_withdraw_pos_val,dc_cash_withdraw_pos_vol
0,01-03-2022,Small Finance Banks,AU Small Finance Bank,407,3,0,321,0,487204,169470,1935173,269852,1385159.65,197587,1881923.68,744,364.02,4502,28352.8,247593,602474.02,184714,573932.23,313,3426.59,890008,5886432.75,30,27.6
1,01-03-2022,Payment Banks,Airtel Payments Bank,0,0,0,0,0,3208634,0,1964142,0,0,0,0,0,0,0,0,0,0,213807,156600.18,0,0,0,0,0,0
2,01-03-2022,Foreign Banks,American Express,0,0,45455,0,0,0,1383221,0,1018513,7369321.28,3595970,25400772.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,01-03-2022,Private Sector Banks,Axis Bank,5748,11174,1010244,710,347644,36594577,9034829,27747647,13841270,41222880.02,9407975,52642162.95,0,0,45631,185105.56,12387481,27686318.61,6319140,18441049.67,26208,658186.04,22320612,137931664,0,0
4,01-03-2022,Private Sector Banks,Bandhan Bank,466,5,36339,0,0,0,0,4966096,0,0,0,0,0,0,0,0,592668,1405190,394699,918313,0,0,2658287,14003766.85,27811,27834
5,01-03-2022,Foreign Banks,Bank of America,0,0,0,0,0,0,21756,0,27052,99065.02,12329,107630.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,01-03-2022,Public Sector Banks,Bank of Baroda,8757,2730,27074,35517,12378,650416,1103921,74522207,1165443,3686313.35,1085014,4499567.59,0,0,21838,101121.59,8519967,15691963.28,4484921,7721120.69,0,0,29706035,140457630.6,2163,1929.46
7,01-03-2022,Public Sector Banks,Bank of India,2507,2751,45542,10834,104,353824,166751,44856938,154672,508947.35,122496,335866.87,0,0,10184,59089.17,5121057,8817597.55,3213983,4057260.8,0,0,18870699,74143941.22,16653,16314.49
8,01-03-2022,Public Sector Banks,Bank of Maharashtra,1694,434,2795,0,355014,433713,77677,12264810,96808,407564.18,0,0,0,0,1225,5727.86,2889361,4340817.32,1131118,1477836.44,10610,128268.9,7541893,32295602.25,0,0
9,01-03-2022,Foreign Banks,Barclays Bank,0,0,0,0,1,0,0,1736,0,0,0,0,0,0,0,0,100,907.05,32,28.32,0,0,401,3499.95,0,0
10,01-03-2022,Public Sector Banks,Canara Bank,8071,4139,50032,8096,69,1264169,927694,46459485,662053,1715137.02,305102,965897.95,0,0,56673,284861.14,10233195,19323217.08,4791270,7906774.63,5255,85017.56,32586175,148809517.9,2798,2467.67
11,01-03-2022,Small Finance Banks,Capital Small Finance Bank,161,2,0,0,0,0,0,183510,0,0,0,0,0,0,0,0,49955,135511.46,20448,40847.14,0,0,129173,699054.17,0,0
12,01-03-2022,Private Sector Banks,Catholic Syrian Bank,1110,622,0,1067,3835,0,0,804171,0,0,0,0,0,0,0,0,248523,408223.75,59475,105540.05,8,24.36,498802,2370432.93,42,28.23
13,01-03-2022,Public Sector Banks,Central Bank of India,2389,587,3957,8015,7543,175363,0,30197222,0,0,0,0,0,0,0,0,2618263,5511293.53,486339,946614.01,0,0,9716712,43780949.16,9887,9946.03
14,01-03-2022,Foreign Banks,Citibank,47,441,0,0,0,0,2551485,1432288,6782388,18646347.26,6258303,25148091.79,0,0,12658,74745.2,1028885,2400201.49,1115035,3027062.28,0,0,1006987,5649930.33,0,0
15,01-03-2022,Private Sector Banks,City Union Bank,407,52,7927,20366,0,29912,1834,2579284,1494,4334.4,433,1626.48,0,0,8,18,952999,1687005.05,257331,409040.23,0,0,2757082,14527320.64,0,0
16,01-03-2022,Foreign Banks,DBS Bank,498,518,1013,124,0,2587,1000,2125772,1479,3546.47,634,2696.69,0,0,2,3,729424,993395.75,356248,576736.1,568,7453.43,1326776,5831994.21,50,37.75
17,01-03-2022,Private Sector Banks,DCB Bank,341,8,8980,0,4944,0,3778,854723,6334,13941.52,3939,14687.33,0,0,205,1475.94,273325,506682.38,98394,349894.14,703,25257.51,331189,1951474.78,0,0
18,01-03-2022,Foreign Banks,Deutsche Bank,13,19,0,0,0,7,0,121093,0,0,0,0,0,0,0,0,61475,157090.22,39416,97802.4,0,0,52600,303832.34,0,0
19,01-03-2022,Private Sector Banks,Dhanlaxmi Bank,214,44,1472,0,0,18530,7134,503775,16955,34979.61,6809,18950.62,7,33.83,120,437.69,246496,393789.86,63706,105083.91,0,0,464152,2044583.05,0,0
20,01-03-2022,Small Finance Banks,ESAF Small Finance Bank,384,2,0,697,0,0,0,4391126,0,0,0,0,0,0,0,0,305368,374817.76,0,0,0,0,1241175,6406089.38,236,158.09
21,01-03-2022,Small Finance Banks,Equitas Small Finance Bank,336,3,13216,304,22412,0,0,3293094,0,0,0,0,0,0,0,0,278828,407816.45,175995,468444.1,0,0,924018,3546281.97,0,0
22,01-03-2022,Private Sector Banks,Federal Bank,1505,380,16569,0,105113,3077952,134841,11129386,280863,936308.87,381977,1532227.49,0,0,1771,9438.67,5243651,8564523.87,2268479,4444410.97,1903,19257.84,9289376,45815354.48,297,238.25
23,01-03-2022,Small Finance Banks,Fincare Small Finance Bank,125,0,0,0,0,0,0,3314960,0,0,0,0,0,0,0,0,55974,61529.58,9200,12302.48,0,0,686237,3393042.01,0,0
24,01-03-2022,Payment Banks,Fino Payments Bank,0,0,0,304094,0,12859,0,4415157,0,0,0,0,0,0,0,0,205483,383496.48,27054,22125.72,0,0,1337527,4122139.38,295,168.2
25,01-03-2022,Private Sector Banks,HDFC Bank,8703,9427,1071935,3324,1244660,0,16536735,43041155,29331886,108544181.5,27983613,176400101,0,0,137659,854422.64,23236053,52195450.61,16237685,40119274.1,600176,4278794.71,40385394,242976848.5,27684,27694.29
26,01-03-2022,Foreign Banks,HSBC,46,28,0,0,0,0,796103,515764,613458,3579623.86,1155380,3986352.85,0,0,1675,13692.73,402555,1086459.31,0,0,0,0,281463,1622205.24,0,0
27,01-03-2022,Private Sector Banks,ICICI Bank,8402,8175,944320,3693,514398,3100255,12978825,36655920,19424563,69564134.68,23318694,137741763,0,0,48760,229472.31,17199869,40590934.09,7575836,24577625.12,26071,255784.45,24390197,154030784.8,91,58.77
28,01-03-2022,Private Sector Banks,IDBI Bank,2221,1182,25385,224,4738,200147,41509,13042334,68252,197503.87,51093,177028.42,0,0,451,2447.23,2902263,5362691.36,1050806,1956517.37,0,0,7354059,36485373.28,532,529.15
29,01-03-2022,Private Sector Banks,IDFC First Bank,505,214,26560,11522,0,38079,799219,4076204,1367730,4899089.81,1325904,7584240.96,0,0,11799,43601.4,1414101,2015650.27,508390,1428377.38,0,0,3103785,12878265.33,0,0
30,01-03-2022,Payment Banks,India Post Payments Bank,0,0,0,135092,0,0,0,4788986,,,,,,,,,0,0,389128,240570.97,0,0,0,0,0,0
31,01-03-2022,Public Sector Banks,Indian Bank,4299,626,14981,9322,0,356603,154342,26961021,129022,378092.66,73904,237320.61,0,0,3511,22363.77,6087414,10556403.98,3068094,4255370.5,6422,102363.19,21419031,99716221.7,32990,32410.1
32,01-03-2022,Public Sector Banks,Indian Overseas Bank,2742,613,0,0,0,81152,74083,20508718,59749,142499.79,26426,63550.33,0,0,867,4013.25,3664568,6294023.61,1386870,2078848.13,0,0,15137144,64870005.33,0,0
33,01-03-2022,Private Sector Banks,IndusInd Bank,1492,1275,220160,164,35908,68715,1880393,6910699,2254748,10802314.23,2542328,45782776.38,0,0,18246,92623.22,1758336,3496811.47,1170562,3541164.98,1017,83630.76,5623319,27508947.58,0,0
34,01-03-2022,Private Sector Banks,Jammu & Kashmir Bank,840,613,10948,945,0,32064,82096,3457424,145394,910884.73,112520,287848.82,0,0,7074,27799,1236554,2919949.84,3462733,1602698.11,0,0,6298900,31721952.85,6,5.9
35,01-03-2022,Small Finance Banks,Jana Small Finance Bank,65,2,0,164,0,493552,0,2345835,0,0,0,0,0,0,0,0,66760,93390.33,17613,33770.25,0,0,311964,1532327.8,0,0
36,01-03-2022,Payment Banks,Jio Payments Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,01-03-2022,Private Sector Banks,Karnataka Bank,819,629,9312,0,0,28511,0,5113093,0,0,0,0,0,0,0,0,1892513,2748661.34,491340,758620.53,0,0,4554359,20083708.12,0,0
38,01-03-2022,Private Sector Banks,Karur Vysya Bank,1362,861,8745,0,0,14391,6691,4066117,15483,76127.51,3962,40563.18,0,0,284,2103.86,2047824,3988487.27,557806,1301885.98,11382,235964.58,5308872,25548660.91,0,0
39,01-03-2022,Private Sector Banks,Kotak Mahindra Bank,1385,1314,56334,5020,21849,236089,3196377,23530754,3697560,11786279.83,3112625,16913066.42,0,0,32856,134435.46,5375357,9419902.14,4267271,9021503.35,0,0,10389295,47795916.24,0,0
40,01-03-2022,Payment Banks,NSDL Payments Bank,0,0,0,30397,0,0,0,334371,0,0,0,0,0,0,0,0,903,864.01,23785,11512.9,0,0,3801,15699.67,0,0
41,01-03-2022,Small Finance Banks,North East Small Finance Bank,8,1,0,0,0,0,0,303473,0,0,0,0,0,0,0,0,19390,26156.09,0,0,0,0,49452,202993.29,0,0
42,01-03-2022,Payment Banks,Paytm Payments Bank,1,70,403006,0,0,21585576,0,36619887,0,0,0,0,0,0,0,0,811299,954816.09,1830442,2084776.09,0,0,2669476,9729090.64,0,0
43,01-03-2022,Public Sector Banks,Punjab & Sind Bank,657,19,1091,357,1159,8053,0,3546410,0,0,0,0,0,0,0,0,591821,1291990.74,386245,785117.66,0,0,1689903,7692797.8,0,0
44,01-03-2022,Public Sector Banks,Punjab National Bank,8211,5143,49833,11265,564726,56411,327893,45957631,443277,1296879.24,180344,576375.14,0,0,3401,11026.03,9324599,18895014.44,5918799,8948889.36,0,0,31840380,156081568.3,0,0
45,01-03-2022,Private Sector Banks,RBL Bank,373,41,749865,0,970367,70519,3682603,1308583,5168256,19565031.1,4251459,24654000,0,0,33206,115605.69,331311,617030.36,168385,452999.56,165,9805.75,638671,3209044.75,0,0
46,01-03-2022,Foreign Banks,SBM Bank India,6,0,0,165938,0,0,562051,52011,341577,1609612.85,1047799,4479465.26,0,0,108845,681013.08,2361,6405.41,5323,12178.33,0,0,5486,20899.04,0,0
47,01-03-2022,Private Sector Banks,South Indian Bank,854,416,11233,0,4541,51846,58365,3614563,170867,501674.62,179945,765550.18,0,0,0,0,1873897,3181562.7,499923,1064220.32,0,0,3150110,14352248.87,0,0
48,01-03-2022,Foreign Banks,Standard Chartered Bank,91,76,0,0,0,0,1342023,1113075,1721399,5352945,1554924,6943036.65,0,0,3205,20576.2,938238,2179490.46,735985,1315377.76,39,838.2,1099928,5185318.13,0,0
49,01-03-2022,Public Sector Banks,State Bank of India,26189,39350,924374,49913,472784,1558576,13766861,275922932,22282182,67147844.14,20617840,137034097.9,0,0,92610,340033.62,59661111,114412092.5,33511927,54276184.37,2552,28000.14,194459535,969705160.8,83123,77101.65
50,01-03-2022,Small Finance Banks,Suryoday Small Finance Bank,0,0,0,66,0,0,0,413877,0,0,0,0,0,0,0,0,31082,32881.06,5881,11362.58,0,0,105825,479683.59,0,0
51,01-03-2022,Private Sector Banks,Tamilnad Mercantile Bank,476,667,4792,0,0,0,32903,2051730,42267,183284.13,21908,98216.29,0,0,2183,8470,378819,716819,140115,213850.13,119,360.24,5306889,21809572.7,0,0
52,01-03-2022,Public Sector Banks,UCO Bank,2095,222,11223,3568,1830,354332,0,11300018,0,0,0,0,0,0,0,0,1838490,3647945.54,1283322,1931029.22,798,12973.65,7004324,30931578.06,2179,2007.68
53,01-03-2022,Small Finance Banks,Ujjivan Small Finance Bank,489,3,0,0,0,32968,0,7188300,0,0,0,0,0,0,0,0,360352,520456.15,159786,307301.76,0,0,3139036,13975995.74,238,236.49
54,01-03-2022,Public Sector Banks,Union Bank of India,8042,3190,197533,8049,5591,220221,538325,47932253,438865,1307558.89,282726,950075.4,0,0,3485,19392.71,10753368,18087630.55,7606876,10848267.14,2319,8568.96,49725391,150870680.9,13354,13311.76
55,01-03-2022,Small Finance Banks,Unity Small Finance Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,01-03-2022,Small Finance Banks,Utkarsh Small Finance Bank,210,6,0,310,0,4204,0,1322048,0,0,0,0,0,0,0,0,41658,62789.48,14410,25286.3,0,0,443778,1544075.02,0,0
57,01-03-2022,Private Sector Banks,Yes Bank,1031,190,57897,86356,270171,97831604,1184542,3606726,1391416,3890061.95,1095372,6029962.56,0,0,14883,64077.7,1312540,2443338.37,790594,1810231.16,73,1085.21,2561370,12373375.95,659,640.41
58,01-04-2022,Small Finance Banks,AU Small Finance Bank,420,3,0,325,0,541455,189930,1992395,287959,1408914.54,207869,1758870.82,1385,672.12,4066,25140.3,253272,629248.65,192053,467908.41,336,4640.79,875817,5822657.6,61,54.9
59,01-04-2022,Payment Banks,Airtel Payments Bank,0,0,0,0,0,3295262,0,1963575,0,0,0,0,0,0,0,0,0,0,218283,142903.38,0,0,0,0,0,0
60,01-04-2022,Foreign Banks,American Express,0,0,46662,0,0,0,1375307,0,1048953,7532832.55,3345816,23437612.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,01-04-2022,Private Sector Banks,Axis Bank,5753,10848,1025313,710,350059,37281037,9261251,27912443,14458273,41235128.1,9932531,50521391.55,0,0,49670,204333.48,12507188,29082291.4,6094942,16432756.47,23388,581706.1,21689678,135340498.6,0,0
62,01-04-2022,Private Sector Banks,Bandhan Bank,466,5,36433,0,0,0,0,5015559,0,0,0,0,0,0,0,0,437660,986710,523532,1276842,0,0,2581746,13814181.31,27611,27902
63,01-04-2022,Foreign Banks,Bank of America,0,0,0,0,0,0,21588,0,26619,109051.56,13355,129305.23,0,0,2,20,0,0,0,0,0,0,0,0,0,0
64,01-04-2022,Public Sector Banks,Bank of Baroda,8751,2717,26886,36110,12344,675034,1194104,75272375,1333849,4264276.82,1222023,5024384.15,0,0,24514,110103.25,8437789,16176289.37,4282058,6772971.82,6,16.5,28260178,136583411.2,1633,1486.54
65,01-04-2022,Public Sector Banks,Bank of India,5238,2788,45968,11047,104,365669,165625,44965718,151623,513667.96,117028,304402.54,0,0,9542,54602.08,5057053,9142147.86,3035215,3588190.42,0,0,18232108,73163840.68,16826,16516.64
66,01-04-2022,Public Sector Banks,Bank of Maharashtra,1708,437,2711,0,355014,436252,77592,12382388,93486,381074.49,0,0,0,0,1025,4914.01,3109508,4596897.07,1129497,1383566.08,10068,117930.05,7356797,31973557.14,0,0
67,01-04-2022,Foreign Banks,Barclays Bank,0,0,0,0,1,0,0,1702,0,0,0,0,0,0,0,0,61,729.73,39,36.96,0,0,392,3565.09,0,0
68,01-04-2022,Private Sector Banks,CSB Bank,415,53,0,1119,3937,0,0,809076,0,0,0,0,0,0,0,0,245320,427177.34,52317,86656.78,12,110,466429,2253750.56,55,49.44
69,01-04-2022,Public Sector Banks,Canara Bank,8074,4132,50234,8906,67,1255497,917871,47155319,633273,1659289.2,287619,902958.62,0,0,52349,258618.24,10155094,20059942.39,4636386,7301707.38,4765,78285.13,31552649,146298937.2,2576,2227.36
70,01-04-2022,Small Finance Banks,Capital Small Finance Bank,162,2,0,0,0,0,0,185559,0,0,0,0,0,0,0,0,49355,122123.23,19172,35537.33,0,0,124289,669866.12,0,0
71,01-04-2022,Public Sector Banks,Central Bank of India,2389,587,3946,8137,7647,179790,0,30407359,0,0,0,0,0,0,0,0,2794644,5920474.13,721543,1181989.45,0,0,9262441,42612111.12,9384,9501.86
72,01-04-2022,Foreign Banks,Citibank,47,440,0,0,0,0,2550891,1424091,6803229,19100051.77,6040699,23383996.82,0,0,12124,70450.8,1104419,2703743.42,1080565,2981511.33,0,0,1030167,5892791.94,0,0
73,01-04-2022,Private Sector Banks,City Union Bank,1103,613,7870,21874,0,30608,1790,2617303,1429,4071.76,388,970.69,0,0,11,48,960150,1697165.03,262980,364467.04,0,0,2649269,13881117.53,0,0
74,01-04-2022,Foreign Banks,DBS Bank,493,518,971,109,0,2658,4992,2115415,3137,10196.96,1738,8791.44,0,0,34,115.5,712923,1014705.65,309814,484675.97,506,7374.06,1265030,5619800.4,45,36.9
75,01-04-2022,Private Sector Banks,DCB Bank,353,8,9005,0,5196,0,3715,864615,6173,15371.88,3691,12574.42,0,0,189,1193.86,265208,542978.46,93515,349976.59,616,22626.7,309728,1886926.92,0,0
76,01-04-2022,Foreign Banks,Deutsche Bank,13,18,0,0,0,7,0,118492,0,0,0,0,0,0,0,0,64840,169365.53,36863,90348.71,0,0,51042,297106.19,0,0
77,01-04-2022,Private Sector Banks,Dhanlaxmi Bank,214,44,1490,0,0,19543,7155,509355,16919,36022.96,6371,22078.24,13,272.48,125,409.02,256361,429410.8,61910,97316.6,0,0,456719,2042657.49,0,0
78,01-04-2022,Small Finance Banks,ESAF Small Finance Bank,400,3,0,837,0,0,0,4442808,0,0,0,0,0,0,0,0,299931,388706.39,0,0,0,0,1062883,5277841.11,120,65.73
79,01-04-2022,Small Finance Banks,Equitas Small Finance Bank,336,3,14497,304,23135,0,0,3350678,0,0,0,0,0,0,0,0,273583,424137.2,149551,431882.09,0,0,926798,3496322.4,0,0
80,01-04-2022,Private Sector Banks,Federal Bank,1505,381,15675,0,105113,3140610,170251,11406240,346287,1093649.84,426659,1615374.12,0,0,2066,9401.35,5336874,9373890.3,2120994,3766522.57,1836,20676.88,9053039,45108330.02,321,263.82
81,01-04-2022,Small Finance Banks,Fincare Small Finance Bank,125,0,0,0,0,0,0,3402389,0,0,0,0,0,0,0,0,57576,61384.5,8737,11578.67,0,0,627154,2921503.9,0,0
82,01-04-2022,Payment Banks,Fino Payments Bank,0,0,0,309670,0,13415,0,4588989,0,0,0,0,0,0,0,0,206072,418115.98,29166,21096.72,0,0,1288913,4053652.2,278,168.81
83,01-04-2022,Private Sector Banks,HDFC Bank,8900,9512,1102829,3303,1259647,0,16833724,43572256,29886445,119314332.7,26403958,171480460,0,0,133207,825229.67,25780179,60182984.36,17313263,39047945.51,547665,3833618.58,40172213,243348749,37019,36990.38
84,01-04-2022,Foreign Banks,HSBC,46,28,0,0,0,0,771007,517950,633374,3311850.19,1076071,3815668.99,0,0,1638,14096.81,414671,1170012.66,0,0,0,0,281381,1633716.6,0,0
85,01-04-2022,Private Sector Banks,ICICI Bank,8403,8138,966135,2720,514675,3120026,13128334,36751248,19723057,67932720.05,23471276,139320624.7,0,0,46319,220093.48,17712949,42782287.59,7223684,21568077.88,18425,158241.81,23940500,152202383.3,132,99.68
86,01-04-2022,Private Sector Banks,IDBI Bank,2222,1180,22875,223,5149,178776,41889,12939701,72536,216061.41,49974,168979.85,0,0,396,2147.43,2917433,5612595.27,969264,1695826.95,0,0,7089818,35476563.96,481,490.24
87,01-04-2022,Private Sector Banks,IDFC First Bank,538,217,27379,11522,0,38079,856394,4183935,1387038,4889459.84,1233117,7122440.92,0,0,11612,42028.3,1421423,2199060.26,475556,1271460.61,0,0,3069190,13038809.4,0,0
88,01-04-2022,Payment Banks,India Post Payments Bank,0,0,0,132120,0,0,0,5112794,,,,,,,,,0,0,447729,247186.01,0,0,0,0,0,0
89,01-04-2022,Public Sector Banks,Indian Bank,4243,596,14905,9657,0,362545,154353,27095159,130521,390560.15,70857,217746.46,0,0,2882,18423.06,6090631,11066117.83,2917766,3853086.61,5916,90230.43,20657436,97670637.83,34105,33520.06
90,01-04-2022,Public Sector Banks,Indian Overseas Bank,2732,624,0,0,0,85158,74442,14617281,60881,147019.9,26039,58287.89,0,0,756,3552.7,3752265,6664726.28,1294963,1862035.11,0,0,14720895,64039460.91,0,0
91,01-04-2022,Private Sector Banks,IndusInd Bank,1499,1266,218935,164,35950,42160,1922608,7067037,2266407,10555163.3,2398443,41233029.58,0,0,17751,89261.33,1759985,3639272.2,1147265,3150072.56,1077,84399.06,5008947,26385221.96,0,0
92,01-04-2022,Private Sector Banks,Jammu & Kashmir Bank,840,614,10681,945,0,34066,82098,3507929,124381,814568.34,106545,249940.23,0,0,5726,23724,1194471,2915260.64,3811305,1575033.73,0,0,6381892,34658842.63,7,6.06
93,01-04-2022,Small Finance Banks,Jana Small Finance Bank,65,2,0,164,0,493717,0,2373395,0,0,0,0,0,0,0,0,66178,98203.7,17011,29900.92,0,0,276500,1339812.85,0,0
94,01-04-2022,Payment Banks,Jio Payments Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,01-04-2022,Private Sector Banks,Karnataka Bank,825,626,9382,0,0,30120,0,5144007,0,0,0,0,0,0,0,0,1862575,2820280.7,424515,674887.41,0,0,4316271,19085224.45,0,0
96,01-04-2022,Private Sector Banks,Karur Vysya Bank,1363,856,8669,0,0,14532,6930,4063846,18705,82484.18,4367,38383.84,0,0,334,2364.5,2046250,4143801.78,543058,1143808.72,10105,198918.61,5104165,24668707.39,0,0
97,01-04-2022,Private Sector Banks,Kotak Mahindra Bank,1384,1319,56647,5483,22653,244101,3425409,23883034,3845081,11754124.2,3129115,16658319.71,0,0,34216,135879.13,5384725,9284625.09,4116930,7907962.21,0,0,10389247,48266617.8,0,0
98,01-04-2022,Payment Banks,NSDL Payments Bank,0,0,0,36061,0,0,0,349949,0,0,0,0,0,0,0,0,824,892.78,20435,9925.78,0,0,3787,16145.66,0,0
99,01-04-2022,Small Finance Banks,North East Small Finance Bank,8,1,0,0,0,0,0,306569,0,0,0,0,0,0,0,0,18858,24887.08,0,0,0,0,49076,198883.92,0,0
100,01-04-2022,Payment Banks,Paytm Payments Bank,1,66,421467,0,0,22126800,0,36856402,0,0,0,0,0,0,0,0,771840,960766.28,1677481,1863914.76,0,0,2196605,8177172.51,0,0
101,01-04-2022,Public Sector Banks,Punjab & Sind Bank,746,23,1073,357,1142,12231,0,3583157,0,0,0,0,0,0,0,0,587980,1244782.06,370928,720664.12,0,0,1563517,7179653.8,0,0
102,01-04-2022,Public Sector Banks,Punjab National Bank,8230,5115,41572,11265,574425,56961,328673,45677227,434360,1271482.83,174789,529403.18,0,0,2855,9221.74,9509827,19275163.96,5553769,7996151.88,0,0,30962021,155391470.7,0,0
103,01-04-2022,Private Sector Banks,RBL Bank,374,41,775381,0,46974,72094,3754269,1333257,5181006,19125875.69,4122947,22790152.59,0,0,29171,104462.73,331224,654495.67,142260,372809.15,109,3309.64,618060,3143916.18,0,0
104,01-04-2022,Foreign Banks,SBM Bank India,6,0,0,184760,0,0,704385,57693,271932.25,1233844.78,931083.75,3547292.62,0,0,56192,356143.05,3079,7854.25,7612,19173.21,0,0,5728,22593.32,0,0
105,01-04-2022,Private Sector Banks,South Indian Bank,853,416,11254,0,3813,53006,72601,3608776,204326,607128.51,214582,861619.25,0,0,0,0,1914294,3533780.13,479658,956256.49,0,0,3064788,14393980.5,0,0
106,01-04-2022,Foreign Banks,Standard Chartered Bank,95,72,0,0,0,0,1337531,1118569,1480380,6388892.18,1703868,5228990.83,0,0,2546,16899.3,914612,2256520.63,687596,1155396.99,39,746.12,1036772,4950158.79,0,0
107,01-04-2022,Public Sector Banks,State Bank of India,26022,39304,888775,50853,479407,1625080,13946540,279530049,22354744,66806256.68,19516716,129190603,0,0,88393,323841.6,61387054,123736452.6,33216767,51869671.14,2231,24101.66,194268082,988277213.2,77085,74052.43
108,01-04-2022,Small Finance Banks,Suryoday Small Finance Bank,0,0,0,67,0,0,0,426261,0,0,0,0,0,0,0,0,28430,32913.23,5318,8268.42,0,0,93063,392660.76,0,0
109,01-04-2022,Private Sector Banks,Tamilnad Mercantile Bank,476,667,4659,0,0,0,33594,2066200,42408,176265.71,21403,90821.38,0,0,1742,6953.4,366456,726003.81,100105,194497.13,101,301.74,5095102,21093111.9,0,0
110,01-04-2022,Public Sector Banks,UCO Bank,2087,222,10697,3568,1776,371136,0,11370697,0,0,0,0,0,0,0,0,1872340,3850761.41,1265799,1784847.12,887,15864.05,6882152,31021588.62,1931,1834.64
111,01-04-2022,Small Finance Banks,Ujjivan Small Finance Bank,489,3,0,0,0,41480,0,7252817,0,0,0,0,0,0,0,0,351817,520544.67,157434,262886.32,0,0,2964012,12979991.83,207,205.7
112,01-04-2022,Public Sector Banks,Union Bank of India,8042,3190,185931,8049,5947,221922,540048,48242120,524324,1619552.33,302360,1018836.97,0,0,6272,31387.96,10747107,18887610.41,7178161,9930735.68,1891,7130.98,46990546,148153228.1,12866,12694.15
113,01-04-2022,Small Finance Banks,Unity Small Finance Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,01-04-2022,Small Finance Banks,Utkarsh Small Finance Bank,216,6,0,310,0,4204,0,1322048,0,0,0,0,0,0,0,0,41658,62789.48,14410,25286.3,0,0,443778,1544075.02,0,0
